prod_id;prod_name;prod_description;prod_brand;category;prod_unit_price
46500716935;Aromatizante Glade cono brisa Hawaiana gel ;Aromatizante Glade cono brisa Hawaiana gel x 170g;GLADE;Aseo de hogar;3633
47400179240;Gillette Mach3 Cartuchos Para Afeitar ;Gillette Mach3 Cartuchos Para Afeitar x 2 Und;GILLETTE;Cuidado Personal;18590
47677000513;Helado Snickers Barra De 6Und ;Helado Snickers Barra De 6Und X 354Ml;SNICKERS;Productos Congelados;9990
47677472297;Helado Milkyway Barra De 6Und ;Helado Milkyway Barra De 6Und X 355Ml;MILKY WAY;Productos Congelados;8990
49331021094;Vino blanco La Crema Monterrey chardonnay ;Vino blanco La Crema Monterrey chardonnay x 750 ml;LA CREMA;Vinos y Licores;159990
51000000071;Jugo Campbell's tomate x163 ml;Jugo Campbell's tomate x163 ml;CAMPBELL'S;Bebidas;4390
51131973244;Esponja Scotch Brite greener reusable ;Esponja Scotch Brite greener reusable x 1und;SCOTCH BRITE;Limpieza de cocina;6190
51135812327;Esponja scotch brite mango dispensador jabón x1und;Esponja scotch brite mango dispensador jabón x1und;SCOTCH BRITE;Limpieza de cocina;9190
52100274621;Sazonador para Guacamole McCormick® ;Sazonador para Guacamole McCormick® x 28g;MCCORMICK;Despensa;3590
55500011445;Clorox Antihongos Gatillo ;Clorox Antihongos Gatillo x 500ml;CLOROX;Aseo de hogar;11193
61104149422;Queso Centurion cambozola ;Queso Centurion cambozola x 125 g;CENTURION;Charcutería;15590
61104410607;Queso Brie Kaserei Champignon ;Queso Brie Kaserei Champignon x 125 g;CENTURION FOODS;Charcutería;10500
61104410614;Queso Camembert kaserei champiñón ;Queso Camembert kaserei champiñón x 125g;CENTURION FOODS;Charcutería;15990
70491212725;Base coctel Master Of Mixes margarita ;Base coctel Master Of Mixes margarita x 1000 ml;MASTER OF MIXES;Vinos y Licores;17590
70491212824;Base coctel Master of Mixes piña colada ;Base coctel Master of Mixes piña colada x 1000 ml;MASTER OF MIXES;Vinos y Licores;17590
70491213227;Mezcla coctel Master Of Mixes daikiri margarita ;Mezcla coctel Master Of Mixes daikiri margarita x 1000 ml;MASTER OF MIXES;Vinos y Licores;18590
70491807952;Concentrado Finest Call fruta granadina ;Concentrado Finest Call fruta granadina x 1L;FINEST CALL;Vinos y Licores;20590
70662020012;Pasta cup sopa instantánea carne res Noodles ;Cup Carne;NISSIN;Despensa;2380
70662020036;Pasta sopa instantánea pollo Cup Noodles ;Pasta sopa instantánea pollo Cup Noodles x 64 g;NISSIN;Despensa;2590
